CNPJ_FUNDO;DT_REG;CLASSE;DT_INI_CLASSE;DT_FIM_CLASSE
00.813.343/0001-75;2005-01-20;Fundo de Renda Fixa;2005-01-14;
00.813.346/0001-09;2005-01-13;Fundo de Curto Prazo;2005-01-01;
00.817.046/0001-06;2005-02-15;Fundo Multimercado;2005-01-31;
00.817.201/0001-86;2005-03-15;Fundo de Renda Fixa;2005-03-11;
00.817.677/0001-17;2005-03-17;Fundo de Renda Fixa;2005-03-14;
00.818.644/0001-91;2005-04-13;Fundo de Renda Fixa;2005-03-31;
00.819.855/0001-49;2005-03-15;Fundo Referenciado;2005-03-14;2016-02-04
00.819.855/0001-49;2005-03-15;Fundo Cambial;2016-02-04;
00.819.858/0001-82;2005-03-15;Fundo de Renda Fixa;2005-03-14;
00.819.875/0001-10;2005-03-16;Fundo Referenciado;2005-03-14;2016-02-04
00.819.875/0001-10;2005-03-16;Fundo de Renda Fixa;2016-02-04;
00.819.880/0001-22;2005-03-16;Fundo Referenciado;2005-03-14;2016-02-04
00.819.880/0001-22;2005-03-16;Fundo Cambial;2016-02-04;
00.819.889/0001-33;2005-03-17;Fundo Referenciado;2005-03-14;2016-03-24
00.819.889/0001-33;2005-03-17;Fundo Cambial;2016-03-24;
00.819.901/0001-00;2005-03-16;Fundo Referenciado;2005-03-14;2016-02-04
00.819.901/0001-00;2005-03-16;Fundo de Renda Fixa;2016-02-04;
00.819.915/0001-23;2005-03-15;Fundo Referenciado;2005-03-14;2016-02-04
00.819.915/0001-23;2005-03-15;Fundo de Renda Fixa;2016-02-04;
00.819.929/0001-47;2005-03-16;Fundo Referenciado;2005-03-14;2016-02-04
00.819.929/0001-47;2005-03-16;Fundo de Renda Fixa;2016-02-04;
00.820.733/0001-72;2005-03-18;Fundo Multimercado;2005-03-08;
00.822.048/0001-85;2005-03-29;Fundo de Curto Prazo;2005-03-24;
00.822.055/0001-87;2005-04-11;Fundo de Renda Fixa;2005-03-31;
00.822.059/0001-65;2005-03-21;Fundo de Ações;2005-03-12;
00.822.063/0001-23;2005-03-31;Fundo Cambial;2005-03-24;
00.822.339/0001-73;2005-03-29;Fundo de Renda Fixa;2005-03-24;
00.822.347/0001-10;2005-03-18;Fundo de Curto Prazo;2005-03-09;
00.822.348/0001-64;2005-02-15;Fundo de Renda Fixa;2005-02-01;
00.822.349/0001-09;2005-03-22;Fundo de Renda Fixa;2005-03-10;2007-01-29
00.822.349/0001-09;2005-03-22;Fundo de Curto Prazo;2007-01-29;
00.822.933/0001-64;2005-04-08;Fundo Referenciado;2005-03-31;2016-01-29
00.822.933/0001-64;2005-04-08;Fundo de Renda Fixa;2016-01-29;
00.822.944/0001-44;2005-03-22;Fundo de Renda Fixa;2005-03-08;2014-11-11
00.822.944/0001-44;2005-03-22;Fundo Referenciado;2014-11-11;
00.822.948/0001-22;2005-03-16;Fundo Referenciado;2005-03-07;
00.822.954/0001-80;2005-04-08;Fundo Cambial;2005-03-31;
00.822.956/0001-79;2005-03-17;Fundo de Renda Fixa;2005-03-08;2013-05-06
00.822.956/0001-79;2005-03-17;Fundo Referenciado;2013-05-06;
00.823.015/0001-50;2005-03-21;Fundo Referenciado;2005-03-21;
00.823.017/0001-49;2005-03-22;Fundo Multimercado;2005-03-21;
00.823.157/0001-17;2005-02-28;Fundo Referenciado;2005-02-24;
00.823.162/0001-20;2005-03-28;Fundo Multimercado;2005-03-14;
00.823.166/0001-08;2005-03-17;Fundo de Renda Fixa;2005-03-14;
00.823.509/0001-34;2005-03-18;Fundo Multimercado;2005-03-09;
00.824.196/0001-39;2005-03-10;Fundo Referenciado;2005-02-25;
00.824.198/0001-28;2005-03-23;Fundo Referenciado;2005-03-11;2016-06-29
00.824.198/0001-28;2005-03-23;Fundo de Renda Fixa;2016-06-29;
