CNPJ_FUNDO;DT_REG;CLASSE;DT_INI_CLASSE;DT_FIM_CLASSE
27.857.950/0001-93;2017-06-14;Fundo de Ações;2017-05-09;
27.858.667/0001-86;2017-06-16;Fundo Multimercado;2017-05-09;
27.865.070/0001-69;2005-03-23;Fundo de Ações;2005-03-11;
27.869.146/0001-24;2017-07-05;Fundo Multimercado;2017-07-05;
27.869.164/0001-06;2017-08-31;Fundo Multimercado;2017-08-30;
27.879.886/0001-41;2017-06-26;Fundo Multimercado;2017-06-23;
27.879.909/0001-18;2017-06-26;Fundo Multimercado;2017-06-23;
27.879.970/0001-65;2017-08-01;Fundo Multimercado;2016-03-07;2017-07-31
27.879.970/0001-65;2017-08-01;Fundo de Renda Fixa;2017-07-31;
27.879.995/0001-69;2017-06-29;Fundo Multimercado;2017-06-29;
27.880.055/0001-90;2017-06-22;Fundo Multimercado;2017-06-22;
27.880.073/0001-71;2018-02-26;Fundo de Ações;2018-02-26;
27.880.083/0001-07;2017-08-16;Fundo de Renda Fixa;2017-08-16;
27.880.102/0001-03;2018-05-11;Fundo Multimercado;2018-05-11;
27.880.199/0001-46;2017-06-23;Fundo Multimercado;2017-06-23;
27.880.216/0001-45;2017-06-22;Fundo de Ações;2017-06-22;
27.880.231/0001-93;2017-06-23;Fundo Multimercado;2017-06-23;
27.880.241/0001-29;2017-07-03;Fundo Multimercado;2017-07-03;
27.880.258/0001-86;2017-07-03;Fundo Multimercado;2017-07-03;
27.880.283/0001-60;2017-06-30;Fundo Multimercado;2017-06-30;
27.880.299/0001-72;2017-08-21;Fundo Multimercado;2017-08-21;
27.880.305/0001-91;2017-07-06;Fundo Multimercado;2017-07-06;
27.880.320/0001-30;2017-07-03;Fundo Multimercado;2017-07-03;
27.880.333/0001-09;2017-07-14;Fundo Multimercado;2017-07-14;
27.880.348/0001-77;2017-07-06;Fundo Multimercado;2017-07-06;
27.880.363/0001-15;2017-07-07;Fundo de Renda Fixa;2017-07-07;
27.880.375/0001-40;2017-07-07;Fundo Multimercado;2017-07-07;
27.883.656/0001-56;2021-11-30;Fundo Multimercado;2021-11-30;
27.884.230/0001-17;2017-06-20;Fundo de Renda Fixa;2017-06-13;
27.884.260/0001-23;2017-06-22;Fundo de Renda Fixa;2017-06-20;
27.884.294/0001-18;2017-06-21;Fundo de Renda Fixa;2017-06-19;
27.884.305/0001-60;2017-06-22;Fundo de Renda Fixa;2017-06-19;
27.884.327/0001-20;2017-06-28;Fundo Multimercado;2017-06-23;
27.884.339/0001-54;2017-06-27;Fundo Multimercado;2017-06-22;
27.884.354/0001-00;2017-06-23;Fundo Multimercado;2017-06-20;
27.884.364/0001-38;2017-06-22;Fundo Multimercado;2017-06-20;2018-05-09
27.884.364/0001-38;2017-06-22;Fundo de Renda Fixa;2018-05-09;
27.891.760/0001-92;2017-07-10;Fundo Multimercado;2017-07-07;
27.891.777/0001-40;2017-07-05;Fundo Multimercado;2017-07-04;
27.923.060/0001-32;2017-07-10;Fundo Multimercado;2017-07-10;
27.923.072/0001-67;2018-11-29;Fundo de Renda Fixa;2018-11-21;2019-03-15
27.923.072/0001-67;2018-11-29;Fundo Multimercado;2019-03-15;2020-04-13
27.923.072/0001-67;2018-11-29;Fundo de Renda Fixa;2020-04-13;
27.923.169/0001-70;2017-06-12;Fundo Multimercado;2017-06-02;
27.924.223/0001-00;2018-10-23;Fundo Multimercado;2017-04-20;
27.924.244/0001-17;2018-02-02;Fundo Multimercado;2017-04-20;
27.927.468/0001-82;2017-12-05;Fundo Multimercado;2017-04-26;
27.927.529/0001-01;2017-08-23;Fundo Multimercado;2017-08-23;
27.927.541/0001-16;2017-07-12;Fundo de Renda Fixa;2017-07-12;
27.927.560/0001-42;2017-07-20;Fundo Multimercado;2017-07-20;
27.927.576/0001-55;2017-07-17;Fundo Multimercado;2017-07-17;
27.927.815/0001-77;2017-07-19;Fundo Multimercado;2017-07-19;
27.928.067/0001-47;2017-07-14;Fundo Multimercado;2017-07-14;
27.928.088/0001-62;2017-07-13;Fundo Multimercado;2017-07-13;
27.928.104/0001-17;2017-07-19;Fundo de Renda Fixa;2017-07-19;
27.928.115/0001-05;2017-07-17;Fundo de Renda Fixa;2017-07-17;
27.928.130/0001-45;2017-07-14;Fundo Multimercado;2017-07-14;
27.928.149/0001-91;2017-07-17;Fundo de Ações;2017-07-17;
27.928.165/0001-84;2017-07-17;Fundo de Ações;2017-07-17;
27.928.174/0001-75;2017-07-12;Fundo Multimercado;2017-07-12;
27.928.186/0001-08;2017-07-18;Fundo Multimercado;2017-07-18;
27.928.206/0001-32;2017-07-19;Fundo Multimercado;2017-07-19;
27.928.252/0001-31;2017-07-06;Fundo Multimercado;2017-07-06;
27.928.267/0001-08;2017-07-12;Fundo Multimercado;2017-07-12;2022-10-28
27.928.267/0001-08;2017-07-12;Fundo de Renda Fixa;2022-10-28;
27.932.636/0001-28;2017-07-21;Fundo de Renda Fixa;2017-07-21;
27.932.646/0001-63;2017-09-13;Fundo Multimercado;2017-09-11;
27.932.660/0001-67;2018-07-04;Fundo de Renda Fixa;2018-06-28;
27.932.683/0001-71;2017-07-12;Fundo de Ações;2017-07-12;
27.932.694/0001-51;2017-07-03;Fundo Multimercado;2017-07-03;
27.932.702/0001-60;2017-06-22;Fundo Multimercado;2017-06-21;
27.933.905/0001-70;2017-07-17;Fundo Multimercado;2017-07-11;
27.933.923/0001-52;2018-06-11;Fundo Multimercado;2018-06-07;
27.933.947/0001-01;2017-07-13;Fundo Multimercado;2017-07-12;
27.933.962/0001-50;2018-06-28;Fundo de Renda Fixa;2018-06-27;
27.933.981/0001-86;2017-06-28;Fundo de Ações;2017-06-28;
27.938.343/0001-58;2017-07-06;Fundo Multimercado;2017-05-26;2017-07-03
27.938.343/0001-58;2017-07-06;Fundo de Renda Fixa;2017-07-03;
27.938.366/0001-62;2017-07-25;Fundo Multimercado;2017-05-26;
27.938.385/0001-99;2017-07-06;Fundo Multimercado;2017-05-26;2017-07-05
27.938.385/0001-99;2017-07-06;Fundo de Renda Fixa;2017-07-05;2017-09-28
27.938.385/0001-99;2017-07-06;Fundo Multimercado;2017-09-28;
27.938.459/0001-97;2017-07-25;Fundo Multimercado;2017-05-26;2017-08-22
27.938.459/0001-97;2017-07-25;Fundo de Renda Fixa;2017-08-22;
27.938.473/0001-90;2017-07-25;Fundo Multimercado;2017-05-26;
27.943.580/0001-07;2017-06-21;Fundo de Renda Fixa;2017-06-06;
27.943.585/0001-30;2017-06-21;Fundo de Renda Fixa;2017-06-06;
27.943.602/0001-39;2017-06-21;Fundo de Renda Fixa;2017-06-06;
27.943.626/0001-98;2017-06-21;Fundo de Renda Fixa;2017-06-06;
27.944.148/0001-30;2017-08-28;Fundo Multimercado;2017-08-25;
27.944.178/0001-47;2018-03-23;Fundo Multimercado;2018-03-23;
27.944.292/0001-77;2018-06-19;Fundo Multimercado;2017-03-20;
27.944.328/0001-12;2017-07-05;Fundo Multimercado;2017-07-05;
27.944.365/0001-20;2017-07-06;Fundo de Ações;2017-07-06;
27.944.377/0001-55;2017-08-24;Fundo Multimercado;2017-05-19;
27.944.378/0001-08;2018-07-13;Fundo Multimercado;2018-07-12;
27.944.398/0001-70;2017-11-22;Fundo Multimercado;2017-05-29;
27.944.406/0001-89;2019-02-28;Fundo Multimercado;2019-02-22;
27.944.421/0001-27;2017-11-22;Fundo Multimercado;2017-05-29;2018-03-13
27.944.421/0001-27;2017-11-22;Fundo de Renda Fixa;2018-03-13;
27.944.427/0001-02;2017-07-27;Fundo Multimercado;2017-07-26;
27.944.445/0001-86;2017-11-22;Fundo Multimercado;2017-05-29;
27.944.460/0001-24;2017-11-22;Fundo Multimercado;2017-05-29;
27.944.473/0001-01;2020-02-10;Fundo Multimercado;2017-05-19;
27.944.491/0001-85;2018-04-10;Fundo Multimercado;2017-05-29;2018-04-16
27.944.491/0001-85;2018-04-10;Fundo de Renda Fixa;2018-04-16;
27.944.509/0001-49;2018-04-19;Fundo de Renda Fixa;2018-04-19;
27.944.533/0001-88;2020-02-10;Fundo Multimercado;2017-05-19;
27.944.548/0001-46;2020-02-10;Fundo Multimercado;2017-05-19;
27.944.690/0001-93;2017-07-17;Fundo Multimercado;2017-05-23;
27.944.838/0001-90;2017-07-17;Fundo Multimercado;2017-05-23;
27.944.857/0001-16;2017-07-17;Fundo Multimercado;2017-05-23;
27.945.255/0001-83;2018-03-07;Fundo Multimercado;2018-03-07;
27.945.264/0001-74;2018-01-29;Fundo de Renda Fixa;2018-01-29;
27.945.281/0001-01;2018-04-10;Fundo Multimercado;2018-04-10;2018-04-19
27.945.281/0001-01;2018-04-10;Fundo de Ações;2018-04-19;
27.945.311/0001-80;2018-01-26;Fundo Multimercado;2018-01-26;
27.945.323/0001-04;2018-01-26;Fundo Multimercado;2018-01-26;
27.945.334/0001-94;2018-02-15;Fundo Multimercado;2018-02-14;
27.945.356/0001-54;2018-03-13;Fundo Multimercado;2018-03-13;
27.945.374/0001-36;2018-02-08;Fundo Multimercado;2018-02-06;
27.945.399/0001-30;2018-02-27;Fundo Multimercado;2018-02-27;
27.945.414/0001-40;2018-02-27;Fundo Multimercado;2018-02-27;
27.945.438/0001-07;2017-07-14;Fundo de Renda Fixa;2017-07-12;
27.945.462/0001-38;2017-07-07;Fundo Multimercado;2017-07-05;
27.945.480/0001-10;2017-07-11;Fundo de Renda Fixa;2017-07-06;
27.945.502/0001-41;2017-07-11;Fundo de Renda Fixa;2017-07-06;
27.945.519/0001-07;2017-07-12;Fundo de Renda Fixa;2017-07-10;
27.945.545/0001-27;2017-07-12;Fundo de Renda Fixa;2017-07-10;
27.945.829/0001-13;2017-07-14;Fundo de Renda Fixa;2017-07-12;
27.945.844/0001-61;2017-07-14;Fundo de Renda Fixa;2017-07-12;
27.945.862/0001-43;2017-07-13;Fundo Multimercado;2017-07-11;
27.954.376/0001-91;2017-07-10;Fundo Multimercado;2017-07-07;2019-11-29
27.954.376/0001-91;2017-07-10;Fundo de Renda Fixa;2019-11-29;
27.954.407/0001-04;2018-06-28;Fundo de Renda Fixa;2018-06-27;
27.954.435/0001-21;2017-06-28;Fundo de Ações;2017-06-28;2020-11-09
27.954.435/0001-21;2017-06-28;Fundo de Renda Fixa;2020-11-09;
27.954.459/0001-80;2018-07-04;Fundo Multimercado;2018-06-28;
27.954.622/0001-05;2017-06-28;Fundo Multimercado;2017-06-28;
27.965.955/0001-30;2017-07-20;Fundo Multimercado;2017-07-20;
27.965.968/0001-09;2017-07-21;Fundo Multimercado;2017-07-21;
27.965.988/0001-80;2017-07-21;Fundo Multimercado;2017-07-21;
27.966.004/0001-85;2017-07-20;Fundo Multimercado;2017-07-20;
27.966.022/0001-67;2017-08-03;Fundo Multimercado;2017-08-03;
27.966.051/0001-29;2017-07-26;Fundo Multimercado;2017-07-26;
27.969.152/0001-53;2017-08-15;Fundo Multimercado;2017-08-15;
27.969.165/0001-22;2017-08-15;Fundo Multimercado;2017-08-15;
27.969.176/0001-02;2017-08-15;Fundo Multimercado;2017-08-15;
27.969.186/0001-48;2017-08-21;Fundo Multimercado;2017-08-21;
27.969.196/0001-83;2017-08-21;Fundo Multimercado;2017-08-21;
27.969.210/0001-49;2017-08-21;Fundo Multimercado;2017-08-21;
27.969.221/0001-29;2017-08-21;Fundo Multimercado;2017-08-21;
27.969.227/0001-04;2017-08-21;Fundo Multimercado;2017-07-21;
27.974.819/0001-06;2017-06-21;Fundo Multimercado;2017-05-24;
27.974.828/0001-05;2017-06-21;Fundo Multimercado;2017-05-24;
27.974.837/0001-98;2017-06-21;Fundo Multimercado;2017-05-24;
27.974.844/0001-90;2017-06-21;Fundo Multimercado;2017-05-24;
27.974.848/0001-78;2017-06-22;Fundo Multimercado;2017-05-24;
27.974.854/0001-25;2017-06-22;Fundo Multimercado;2017-05-24;
27.974.858/0001-03;2017-06-22;Fundo Multimercado;2017-05-24;
27.974.862/0001-71;2017-06-22;Fundo Multimercado;2017-05-24;
27.974.870/0001-18;2017-06-22;Fundo Multimercado;2017-05-24;
27.974.873/0001-51;2017-06-22;Fundo Multimercado;2017-05-24;
27.974.877/0001-30;2017-06-22;Fundo Multimercado;2017-05-24;
27.974.883/0001-97;2017-06-22;Fundo Multimercado;2017-05-24;
27.974.889/0001-64;2017-06-22;Fundo Multimercado;2017-05-24;
27.974.892/0001-88;2017-06-22;Fundo Multimercado;2017-05-24;2018-11-21
27.974.892/0001-88;2017-06-22;Fundo de Ações;2018-11-21;
27.974.894/0001-77;2017-06-22;Fundo Multimercado;2017-05-24;
27.974.899/0001-08;2017-06-22;Fundo Multimercado;2017-05-24;
27.974.904/0001-74;2017-06-22;Fundo Multimercado;2017-05-24;
27.974.907/0001-08;2017-06-22;Fundo Multimercado;2017-05-24;
27.974.911/0001-76;2017-06-22;Fundo Multimercado;2017-05-24;
27.974.913/0001-65;2017-06-22;Fundo Multimercado;2017-05-24;2018-10-11
27.974.913/0001-65;2017-06-22;Fundo de Renda Fixa;2018-10-11;
27.994.302/0001-89;2017-10-04;Fundo Multimercado;2017-10-03;
28.015.594/0001-23;2017-08-11;Fundo Multimercado;2017-08-11;
28.015.602/0001-31;2017-08-23;Fundo Multimercado;2017-08-23;
28.015.608/0001-09;2017-08-23;Fundo de Ações;2017-08-21;
28.015.616/0001-55;2017-08-07;Fundo Multimercado;2017-08-01;
28.015.623/0001-57;2017-08-25;Fundo de Renda Fixa;2017-08-21;
28.015.632/0001-48;2017-07-31;Fundo Multimercado;2017-07-27;
28.021.439/0001-10;2017-08-18;Fundo Multimercado;2017-08-18;
28.021.502/0001-18;2017-08-18;Fundo de Renda Fixa;2017-08-18;
28.021.556/0001-83;2017-07-19;Fundo Multimercado;2017-07-19;
28.021.571/0001-21;2017-07-19;Fundo Multimercado;2017-07-19;
28.021.587/0001-34;2017-07-19;Fundo Multimercado;2017-07-19;
28.021.609/0001-66;2017-07-18;Fundo Multimercado;2017-07-18;
28.021.668/0001-34;2017-07-24;Fundo Multimercado;2017-07-24;
28.021.679/0001-14;2017-07-24;Fundo Multimercado;2017-07-24;
28.021.770/0001-30;2017-09-18;Fundo de Renda Fixa;2017-06-07;2017-09-25
28.021.770/0001-30;2017-09-18;Fundo Multimercado;2017-09-25;
28.021.860/0001-20;2017-09-29;Fundo de Renda Fixa;2017-06-06;2017-10-02
28.021.860/0001-20;2017-09-29;Fundo Multimercado;2017-10-02;
28.021.877/0001-88;2018-01-09;Fundo de Renda Fixa;2017-06-07;2018-01-15
28.021.877/0001-88;2018-01-09;Fundo de Renda Fixa;2018-01-15;
28.021.886/0001-79;2017-09-11;Fundo de Renda Fixa;2017-06-07;2017-09-11
28.021.886/0001-79;2017-09-11;Fundo Multimercado;2017-09-11;
28.021.898/0001-01;2017-12-26;Fundo de Renda Fixa;2017-06-07;2018-01-02
28.021.898/0001-01;2017-12-26;Fundo Multimercado;2018-01-02;
28.021.919/0001-80;2017-10-09;Fundo de Renda Fixa;2017-06-07;2017-10-10
28.021.919/0001-80;2017-10-09;Fundo Multimercado;2017-10-10;
28.021.925/0001-38;2017-10-09;Fundo de Renda Fixa;2017-06-07;2017-10-10
28.021.925/0001-38;2017-10-09;Fundo Multimercado;2017-10-10;
28.021.936/0001-18;2017-10-11;Fundo de Renda Fixa;2017-06-07;2017-10-18
28.021.936/0001-18;2017-10-11;Fundo Multimercado;2017-10-18;
28.021.948/0001-42;2018-02-05;Fundo de Renda Fixa;2017-06-07;
28.021.964/0001-35;2017-09-19;Fundo de Renda Fixa;2017-06-07;2017-09-26
28.021.964/0001-35;2017-09-19;Fundo Multimercado;2017-09-26;2017-12-20
28.021.964/0001-35;2017-09-19;Fundo de Ações;2017-12-20;
28.021.980/0001-28;2017-11-16;Fundo de Renda Fixa;2017-06-07;
28.021.990/0001-63;2017-08-11;Fundo de Renda Fixa;2017-06-07;2017-08-15
28.021.990/0001-63;2017-08-11;Fundo Multimercado;2017-08-15;
28.022.003/0001-45;2017-07-20;Fundo de Renda Fixa;2017-06-07;
28.022.008/0001-78;2017-08-04;Fundo de Renda Fixa;2017-06-07;2017-08-07
28.022.008/0001-78;2017-08-04;Fundo Multimercado;2017-08-07;
28.022.031/0001-62;2017-07-28;Fundo de Renda Fixa;2017-06-07;
28.025.408/0001-37;2019-05-09;Fundo de Renda Fixa;2019-05-08;
28.025.412/0001-03;2017-07-31;Fundo Multimercado;2017-07-28;
28.025.424/0001-20;2017-08-10;Fundo de Renda Fixa;2017-08-08;
28.025.432/0001-76;2017-07-31;Fundo Multimercado;2017-07-28;
28.030.402/0001-58;2017-10-19;Fundo de Renda Fixa;2017-05-04;
28.036.816/0001-94;2017-07-06;Fundo Multimercado;2017-05-26;2017-08-11
28.036.816/0001-94;2017-07-06;Fundo de Renda Fixa;2017-08-11;
28.036.822/0001-41;2017-07-06;Fundo Multimercado;2017-05-26;
28.036.828/0001-19;2017-07-06;Fundo Multimercado;2017-05-26;
28.036.831/0001-32;2017-07-06;Fundo Multimercado;2017-05-26;
28.036.841/0001-78;2017-07-06;Fundo Multimercado;2017-05-26;
28.036.851/0001-03;2017-07-06;Fundo Multimercado;2017-05-26;
28.036.862/0001-93;2017-07-06;Fundo Multimercado;2017-05-26;
28.036.868/0001-60;2017-07-06;Fundo Multimercado;2017-05-26;
28.036.872/0001-29;2017-07-06;Fundo Multimercado;2017-05-26;
28.036.880/0001-75;2017-07-06;Fundo Multimercado;2017-05-26;
28.038.025/0001-01;2017-08-15;Fundo Multimercado;2017-08-15;
28.039.247/0001-30;2017-10-02;Fundo Multimercado;2017-09-28;
28.039.263/0001-23;2017-11-13;Fundo Multimercado;2017-11-09;
28.039.271/0001-70;2018-01-22;Fundo Multimercado;2017-12-18;
28.039.276/0001-00;2018-01-22;Fundo Multimercado;2017-12-18;
28.039.278/0001-91;2018-04-25;Fundo Multimercado;2018-04-02;
28.046.800/0001-62;2017-07-14;Fundo Cambial;2017-07-12;
28.046.819/0001-09;2017-07-14;Fundo de Renda Fixa;2017-07-12;
28.046.865/0001-08;2017-07-21;Fundo Multimercado;2017-07-19;
28.046.895/0001-14;2017-07-17;Fundo de Renda Fixa;2017-07-13;
28.046.930/0001-03;2017-07-17;Fundo Multimercado;2017-07-13;
28.046.964/0001-90;2017-08-08;Fundo de Renda Fixa;2017-08-04;
28.047.011/0001-46;2017-07-25;Fundo Multimercado;2017-07-20;
28.047.037/0001-94;2017-07-19;Fundo Multimercado;2017-07-14;
28.047.056/0001-10;2017-07-19;Fundo Multimercado;2017-07-14;
28.047.085/0001-82;2017-07-19;Fundo Multimercado;2017-07-14;
28.047.143/0001-78;2017-07-20;Fundo Multimercado;2017-07-14;
28.047.174/0001-29;2017-07-20;Fundo Multimercado;2017-07-14;2018-05-24
28.047.174/0001-29;2017-07-20;Fundo de Renda Fixa;2018-05-24;
28.047.210/0001-54;2017-07-24;Fundo Multimercado;2017-07-18;
28.052.296/0001-03;2017-07-26;Fundo de Renda Fixa;2017-06-06;
28.059.053/0001-05;2005-04-06;Fundo Multimercado;2005-03-28;
28.065.377/0001-48;2017-11-13;Fundo Multimercado;2017-05-08;
28.065.397/0001-19;2017-09-18;Fundo Multimercado;2017-09-06;
28.065.429/0001-86;2019-08-02;Fundo Multimercado;2017-05-08;
28.065.441/0001-90;2019-08-02;Fundo Multimercado;2017-05-08;
28.065.455/0001-04;2019-08-02;Fundo Multimercado;2017-05-08;2021-03-19
28.065.455/0001-04;2019-08-02;Fundo de Renda Fixa;2021-03-19;
28.065.477/0001-74;2019-08-02;Fundo Multimercado;2017-05-08;
28.065.509/0001-31;2019-08-02;Fundo Multimercado;2017-03-20;
28.065.542/0001-61;2019-08-02;Fundo Multimercado;2017-03-20;
28.065.568/0001-00;2022-02-01;Fundo de Ações;2022-02-01;
28.069.569/0001-22;2017-07-28;Fundo de Renda Fixa;2017-06-07;
28.069.584/0001-70;2018-01-26;Fundo de Renda Fixa;2017-06-07;
28.069.605/0001-58;2018-02-23;Fundo de Renda Fixa;2017-06-07;
28.069.617/0001-82;2017-10-04;Fundo de Renda Fixa;2017-06-07;2017-10-09
28.069.617/0001-82;2017-10-04;Fundo Multimercado;2017-10-09;
28.069.633/0001-75;2017-09-29;Fundo de Renda Fixa;2017-06-07;2017-10-09
28.069.633/0001-75;2017-09-29;Fundo Multimercado;2017-10-09;
28.069.646/0001-44;2019-10-04;Fundo Multimercado;2017-06-07;
28.069.663/0001-81;2019-10-03;Fundo Multimercado;2017-06-07;
28.069.673/0001-17;2018-02-07;Fundo de Renda Fixa;2017-06-07;2018-02-19
28.069.673/0001-17;2018-02-07;Fundo Multimercado;2018-02-19;
28.069.689/0001-20;2018-02-06;Fundo de Renda Fixa;2017-06-07;2018-02-19
28.069.689/0001-20;2018-02-06;Fundo Multimercado;2018-02-19;
28.069.700/0001-51;2018-02-07;Fundo de Renda Fixa;2017-06-07;2018-02-19
28.069.700/0001-51;2018-02-07;Fundo Multimercado;2018-02-19;
28.069.733/0001-00;2018-01-09;Fundo de Renda Fixa;2017-06-07;2018-01-15
28.069.733/0001-00;2018-01-09;Fundo Multimercado;2018-01-15;
28.069.743/0001-37;2017-08-11;Fundo de Renda Fixa;2017-06-07;2017-08-18
28.069.743/0001-37;2017-08-11;Fundo Multimercado;2017-08-18;
28.069.761/0001-19;2017-08-11;Fundo de Renda Fixa;2017-06-07;2017-08-14
28.069.761/0001-19;2017-08-11;Fundo Multimercado;2017-08-14;
28.069.780/0001-45;2017-07-18;Fundo Multimercado;2017-06-07;2017-07-19
28.069.780/0001-45;2017-07-18;Fundo de Renda Fixa;2017-07-19;2021-01-22
28.069.780/0001-45;2017-07-18;Fundo Multimercado;2021-01-22;
28.069.790/0001-80;2017-07-18;Fundo Multimercado;2017-06-07;2021-01-22
28.069.790/0001-80;2017-07-18;Fundo de Ações;2021-01-22;2022-08-19
28.069.790/0001-80;2017-07-18;Fundo Multimercado;2022-08-19;
28.069.909/0001-15;2017-07-06;Fundo Multimercado;2017-05-26;
28.069.915/0001-72;2017-07-06;Fundo Multimercado;2017-05-26;
28.069.924/0001-63;2017-07-06;Fundo Multimercado;2017-05-26;
28.069.930/0001-10;2017-07-06;Fundo Multimercado;2017-05-26;
28.069.937/0001-32;2017-07-06;Fundo Multimercado;2017-05-26;
28.069.948/0001-12;2017-07-06;Fundo Multimercado;2017-05-26;2017-08-22
28.069.948/0001-12;2017-07-06;Fundo de Ações;2017-08-22;
28.069.955/0001-14;2017-07-06;Fundo Multimercado;2017-05-26;
28.069.965/0001-50;2017-07-06;Fundo Multimercado;2017-05-26;
28.069.976/0001-30;2017-07-06;Fundo Multimercado;2017-05-26;2017-08-22
28.069.976/0001-30;2017-07-06;Fundo de Ações;2017-08-22;
28.069.983/0001-31;2017-07-06;Fundo Multimercado;2017-05-26;2017-08-22
28.069.983/0001-31;2017-07-06;Fundo de Ações;2017-08-22;
28.074.954/0001-68;2017-09-22;Fundo Multimercado;2017-09-20;
28.075.007/0001-91;2017-07-28;Fundo Multimercado;2017-07-26;
28.075.040/0001-11;2017-07-24;Fundo Multimercado;2017-07-19;
28.075.063/0001-26;2017-07-25;Fundo Multimercado;2017-07-19;
28.075.068/0001-59;2017-08-02;Fundo Multimercado;2017-07-31;
28.075.078/0001-94;2017-07-24;Fundo Multimercado;2017-07-20;
28.075.079/0001-39;2017-08-11;Fundo Multimercado;2017-08-09;
28.075.094/0001-87;2017-07-20;Fundo Multimercado;2017-07-19;
28.075.106/0001-73;2017-08-08;Fundo Multimercado;2017-08-01;
28.075.123/0001-00;2017-07-25;Fundo Multimercado;2017-07-19;
28.075.132/0001-00;2017-07-24;Fundo Multimercado;2017-07-18;
28.075.138/0001-79;2017-07-25;Fundo Multimercado;2017-07-20;
28.075.153/0001-17;2017-07-25;Fundo Multimercado;2017-07-20;
28.075.172/0001-43;2017-07-25;Fundo Multimercado;2017-07-21;
28.075.193/0001-69;2017-07-26;Fundo Multimercado;2017-07-24;
28.075.217/0001-80;2017-07-27;Fundo Multimercado;2017-07-24;
28.075.254/0001-98;2017-07-27;Fundo Multimercado;2017-07-24;
28.075.258/0001-76;2017-07-12;Fundo Multimercado;2017-07-10;
28.075.280/0001-16;2017-07-19;Fundo Multimercado;2017-07-19;
28.075.365/0001-02;2017-08-21;Fundo Multimercado;2017-08-16;
28.075.385/0001-75;2017-07-28;Fundo Multimercado;2017-07-26;
28.075.401/0001-20;2017-08-17;Fundo Multimercado;2017-07-28;
28.075.412/0001-00;2017-08-07;Fundo Multimercado;2017-08-03;
28.075.417/0001-32;2017-08-22;Fundo Multimercado;2017-08-22;
28.075.425/0001-89;2017-09-19;Fundo Multimercado;2017-09-15;
28.075.437/0001-03;2017-10-02;Fundo de Ações;2017-09-29;
28.075.453/0001-04;2017-08-01;Fundo Multimercado;2017-07-27;
28.075.454/0001-40;2017-07-11;Fundo de Ações;2017-07-11;
28.075.475/0001-66;2017-08-11;Fundo Multimercado;2017-08-09;
28.075.481/0001-13;2017-07-31;Fundo Multimercado;2017-07-28;
28.075.485/0001-00;2017-09-22;Fundo Multimercado;2017-09-20;
28.075.501/0001-56;2017-09-15;Fundo Multimercado;2017-09-14;
28.075.506/0001-89;2017-07-11;Fundo de Ações;2017-07-11;
28.075.532/0001-07;2017-10-04;Fundo de Ações;2017-10-03;
28.075.560/0001-24;2018-06-28;Fundo de Renda Fixa;2018-06-27;
28.075.605/0001-60;2017-08-01;Fundo Multimercado;2017-07-31;
28.075.715/0001-22;2017-08-08;Fundo Multimercado;2017-05-26;2017-08-22
28.075.715/0001-22;2017-08-08;Fundo de Ações;2017-08-22;
28.075.830/0001-05;2017-08-08;Fundo Multimercado;2017-05-26;
28.075.907/0001-39;2017-08-08;Fundo Multimercado;2017-05-26;2017-12-14
28.075.907/0001-39;2017-08-08;Fundo de Ações;2017-12-14;2018-01-29
28.075.907/0001-39;2017-08-08;Fundo Multimercado;2018-01-29;
28.075.951/0001-49;2017-08-08;Fundo Multimercado;2017-05-26;
28.076.506/0001-01;2017-08-08;Fundo Multimercado;2017-05-26;2017-10-20
28.076.506/0001-01;2017-08-08;Fundo de Ações;2017-10-20;
28.076.548/0001-34;2017-08-08;Fundo Multimercado;2017-05-26;2018-03-28
28.076.548/0001-34;2017-08-08;Fundo de Ações;2018-03-28;
28.076.584/0001-06;2017-08-08;Fundo Multimercado;2017-05-26;2017-12-14
28.076.584/0001-06;2017-08-08;Fundo de Ações;2017-12-14;
28.077.177/0001-05;2018-02-09;Fundo Multimercado;2018-02-09;
28.077.197/0001-86;2017-10-20;Fundo de Renda Fixa;2017-10-18;
28.077.215/0001-20;2017-08-21;Fundo Multimercado;2017-08-21;
28.077.305/0001-10;2017-08-21;Fundo Multimercado;2017-08-21;
28.077.319/0001-34;2017-09-08;Fundo Multimercado;2017-09-05;
28.077.385/0001-04;2017-09-21;Fundo Multimercado;2017-09-21;
28.077.406/0001-91;2017-09-21;Fundo Multimercado;2017-09-21;
28.077.425/0001-18;2017-10-17;Fundo Multimercado;2017-10-16;
28.077.796/0001-08;2017-08-11;Fundo Multimercado;2017-08-09;
28.077.823/0001-34;2017-08-15;Fundo Multimercado;2017-08-14;
28.077.847/0001-93;2017-08-18;Fundo de Renda Fixa;2017-08-16;
28.077.860/0001-42;2017-08-18;Fundo Multimercado;2017-08-16;
28.077.888/0001-80;2017-08-16;Fundo de Renda Fixa;2017-08-10;
28.077.900/0001-56;2017-08-21;Fundo Multimercado;2017-08-17;
28.077.909/0001-67;2017-08-28;Fundo Multimercado;2017-08-23;
28.077.914/0001-70;2017-09-21;Fundo de Renda Fixa;2017-09-20;
28.077.929/0001-38;2017-09-25;Fundo Multimercado;2017-09-22;
28.077.946/0001-75;2017-12-19;Fundo Multimercado;2017-12-19;
